text,predicted_label,confidence,positive_probability,negative_probability
"After the transaction , Danske Bank becomes an equal player with Nordic bank group Nordea in the Nordic countries .",POSITIVE,0.999,0.999,0.001
"Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .",POSITIVE,0.9987,0.9987,0.0013
"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",POSITIVE,0.9993,0.9993,0.0007
"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",POSITIVE,0.9967,0.9967,0.0033
"Ahlstrom Corporation Seppo Parvi , CFO Distribution : Main media www.ahlstrom.com Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .",POSITIVE,0.9983,0.9983,0.0017
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",NEGATIVE,0.9829,0.0171,0.9829
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",NEGATIVE,0.6661,0.3339,0.6661
"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",POSITIVE,0.9945,0.9945,0.0055
"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .",POSITIVE,0.9957,0.9957,0.0043
"ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .",POSITIVE,0.9697,0.9697,0.0303
"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",POSITIVE,0.9685,0.9685,0.0315
All depends on financing .,NEGATIVE,0.5019,0.4981,0.5019
Almost two thirds of Olvi 's net sales come from outside Finland .,POSITIVE,0.9616,0.9616,0.0384
"Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros .",NEGATIVE,0.7084,0.2916,0.7084
Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,POSITIVE,0.9474,0.9474,0.0526
"Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .",NEGATIVE,0.9992,0.0008,0.9992
"Among paper issues , Stora Enso R was little changed -- up 0.08 pct at 12.03 eur , UPM-Kymmene was 0.48 pct higher at 18.77 eur and M-real B added 0.50 pct to 3.99 eur .",NEGATIVE,0.9971,0.0029,0.9971
An Android app will be coming soon .,POSITIVE,0.8811,0.8811,0.1189
An Apple spokeswoman said the company declined to comment .,NEGATIVE,0.9961,0.0039,0.9961
Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter .,NEGATIVE,0.9721,0.0279,0.9721
Around 250 of these reductions will be implemented through pension arrangements .,NEGATIVE,0.8324,0.1676,0.8324
Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .,NEGATIVE,0.9996,0.0004,0.9996
As a consequence of the merger the number of administration personnel at the factories will be reduced by six .,NEGATIVE,0.9991,0.0009,0.9991
"As a result , the number of personnel in Finland will be reduced by 158 .",NEGATIVE,0.9992,0.0008,0.9992
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",NEGATIVE,0.9956,0.0044,0.9956
"As part of the transaction , the +ä+ñnekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract .",NEGATIVE,0.6592,0.3408,0.6592
Aspo 's Group structure and business operations are developed persistently without any predefined schedules .,POSITIVE,0.7528,0.7528,0.2472
"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry .",POSITIVE,0.9938,0.9938,0.0062
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",POSITIVE,0.9959,0.9959,0.0041
"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees .",POSITIVE,0.9816,0.9816,0.0184
"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million .",NEGATIVE,0.9334,0.0666,0.9334
BM4 middle layer headbox will be equipped with a dilution control system .,NEGATIVE,0.9779,0.0221,0.9779
Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 .,NEGATIVE,0.9679,0.0321,0.9679
"By the end of 2006 , the number of joint branch offices will total 170 .",POSITIVE,0.9819,0.9819,0.0181
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,NEGATIVE,0.9854,0.0146,0.9854
"CapMan , the Stockholm-headquartered private equity firm , has held a first close on its second private equity real estate fund as it continues its push into the property sector .",POSITIVE,0.9982,0.9982,0.0018
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,POSITIVE,0.8111,0.8111,0.1889
"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people .",POSITIVE,0.9899,0.9899,0.0101
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,POSITIVE,0.9962,0.9962,0.0038
"Citigroup , Inc NYSE : C , Deutsche Bank NYSE : DB and Pohjola Bank are lead managers for the sale .",NEGATIVE,0.8582,0.1418,0.8582
Coffee will be served starting at 14:30 EET as well as after the event .,POSITIVE,0.9597,0.9597,0.0403
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .,NEGATIVE,0.5355,0.4645,0.5355
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",POSITIVE,0.9993,0.9993,0.0007
"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",NEGATIVE,0.9589,0.0411,0.9589
"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",POSITIVE,0.5479,0.5479,0.4521
Componenta will also offer a five-year subordinated loan for subscription by the public .,NEGATIVE,0.9916,0.0084,0.9916
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,NEGATIVE,0.9219,0.0781,0.9219
Curators have divided their material into eight themes .,POSITIVE,0.9615,0.9615,0.0385
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",POSITIVE,0.5747,0.5747,0.4253
"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes .",NEGATIVE,0.9982,0.0018,0.9982
Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari .,POSITIVE,0.9972,0.9972,0.0028
"Currently Glaston employs approximately 1,500 persons .",POSITIVE,0.9811,0.9811,0.0189
"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",POSITIVE,0.8994,0.8994,0.1006
Customers include hotels and restaurants as well as wholesalers and some retailers .,POSITIVE,0.9579,0.9579,0.0421
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",NEGATIVE,0.9813,0.0187,0.9813
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,POSITIVE,0.9011,0.9011,0.0989
Delivery is expected to take place later this month .,NEGATIVE,0.6461,0.3539,0.6461
"Deutsche Beteiligungs , as well as a private equity fund it manages , first bought 75 % of MCE in a secondary buyout from White Plains , N.Y. , financial investor Andlinger & Co. in 2007 .",NEGATIVE,0.6718,0.3282,0.6718
Earnings per share EPS in 2005 amounted to a loss of EUR1 .26 .,NEGATIVE,0.9994,0.0006,0.9994
Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,NEGATIVE,0.9996,0.0004,0.9996
"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says .",POSITIVE,0.9967,0.9967,0.0033
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",NEGATIVE,0.9143,0.0857,0.9143
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,NEGATIVE,0.9995,0.0005,0.9995
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",POSITIVE,0.9955,0.9955,0.0045
"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A .",NEGATIVE,0.9844,0.0156,0.9844
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",NEGATIVE,0.9846,0.0154,0.9846
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",POSITIVE,0.9965,0.9965,0.0035
EUR 152.4 mn of this was net interest income .,NEGATIVE,0.9098,0.0902,0.9098
"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",NEGATIVE,0.9372,0.0628,0.9372
Financing of the project will come mainly from China .,POSITIVE,0.9742,0.9742,0.0258
Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices .,NEGATIVE,0.9573,0.0427,0.9573
Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .,NEGATIVE,0.9736,0.0264,0.9736
Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,NEGATIVE,0.9988,0.0012,0.9988
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",NEGATIVE,0.9997,0.0003,0.9997
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,NEGATIVE,0.8048,0.1952,0.8048
"Finnish silicon wafers maker Okmetic Oyj said on September 17 , 2008 that it will invest a total of 15 mln euro $ 21.3 mln in its sensor wafer business .",NEGATIVE,0.867,0.133,0.867
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",POSITIVE,0.9937,0.9937,0.0063
"Fiskars R , founded in 1649 , is one of the oldest companies in the world and is the largest manufacturer of lightweight stainless steel scissors in the U.S. .",POSITIVE,0.9986,0.9986,0.0014
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",POSITIVE,0.9893,0.9893,0.0107
"Following the acquisitions , Panostaja will establish a new business unit which will focus on heat treatment of metals .",POSITIVE,0.9926,0.9926,0.0074
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",POSITIVE,0.9961,0.9961,0.0039
"Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats .",POSITIVE,0.9885,0.9885,0.0115
"Following the issue , the number of shares in the Swedish company will grow by 9 % .",POSITIVE,0.9977,0.9977,0.0023
"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units .",NEGATIVE,0.8799,0.1201,0.8799
"For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece .",NEGATIVE,0.9399,0.0601,0.9399
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",NEGATIVE,0.9687,0.0313,0.9687
Fortum is now considering taking part in nuclear energy projects outside of Finland .,NEGATIVE,0.7892,0.2108,0.7892
"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",POSITIVE,0.9991,0.9991,0.0009
"Garmin fell 4.5 percent to $ 34.53 at 1:33 p.m. in New York , while Google slid 0.7 percent at $ 576.50 .",NEGATIVE,0.9996,0.0004,0.9996
GE is building the facility with wind power developer Invenergy Wind LLC .,POSITIVE,0.8755,0.8755,0.1245
"Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company .",POSITIVE,0.9993,0.9993,0.0007
Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn .,NEGATIVE,0.9078,0.0922,0.9078
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",NEGATIVE,0.9765,0.0235,0.9765
"GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province .",NEGATIVE,0.928,0.072,0.928
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",POSITIVE,0.9838,0.9838,0.0162
High winds also toppled three semi-trailers on I-15 north of Barstow .,NEGATIVE,0.9904,0.0096,0.9904
HK Ruokatalo 's target is to know the consumers .,NEGATIVE,0.9877,0.0123,0.9877
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .",POSITIVE,0.9939,0.9939,0.0061
"However , the production is almost entirely very labor intensive and based on small investments only .",NEGATIVE,0.9935,0.0065,0.9935
"In 2007 , Etteplan had turnover of EUR125 .2 m.",NEGATIVE,0.9286,0.0714,0.9286
"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",POSITIVE,0.8481,0.8481,0.1519
In 2007 Etteplan reported a turnover of EUR125 .2 m.,NEGATIVE,0.9263,0.0737,0.9263
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",NEGATIVE,0.9535,0.0465,0.9535
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,NEGATIVE,0.9828,0.0172,0.9828
"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level .",NEGATIVE,0.9931,0.0069,0.9931
"In addition , the company is considering the start of production in Russia .",POSITIVE,0.8797,0.8797,0.1203
"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",POSITIVE,0.985,0.985,0.015
"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets .",POSITIVE,0.6377,0.6377,0.3623
"In addition to software development , the new design unit will provide for mechanical engineering and electronics design .",POSITIVE,0.9931,0.9931,0.0069
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .",POSITIVE,0.978,0.978,0.022
"In April 2010 , Olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape .",POSITIVE,0.999,0.999,0.001
"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",NEGATIVE,0.9679,0.0321,0.9679
"In Finland , Alma Media will focus on quality and developing chain operations .",POSITIVE,0.9959,0.9959,0.0041
"In Finland , the five largest brands control 90 % of the beer market .",POSITIVE,0.9978,0.9978,0.0022
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .,NEGATIVE,0.9833,0.0167,0.9833
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",NEGATIVE,0.999,0.001,0.999
In Sweden the agreement covers data communication services as well .,POSITIVE,0.9604,0.9604,0.0396
"In the automobile space , Maruti is the most searched brand in cars .",POSITIVE,0.9975,0.9975,0.0025
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",NEGATIVE,0.8908,0.1092,0.8908
"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",NEGATIVE,0.9815,0.0185,0.9815
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",NEGATIVE,0.9686,0.0314,0.9686
"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .",NEGATIVE,0.9876,0.0124,0.9876
"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .",NEGATIVE,0.9437,0.0563,0.9437
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur , near Bangalore , for Rs40 crore .",NEGATIVE,0.7812,0.2188,0.7812
Inha Works has invested in its product development and market research .,POSITIVE,0.9972,0.9972,0.0028
"It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark .",NEGATIVE,0.9742,0.0258,0.9742
"It grew in Finland , Norway , Denmark and the Baltic countries .",POSITIVE,0.9993,0.9993,0.0007
It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites .,POSITIVE,0.9464,0.9464,0.0536
"It is being developed by Symbian , the software licensing consortium led by Nokia .",NEGATIVE,0.9897,0.0103,0.9897
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,NEGATIVE,0.995,0.005,0.995
It is the first application in the market for invoice and purchase requisition approval with a mobile device .,POSITIVE,0.908,0.908,0.092
"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",POSITIVE,0.8112,0.8112,0.1888
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,NEGATIVE,0.9919,0.0081,0.9919
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .,NEGATIVE,0.8304,0.1696,0.8304
J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,NEGATIVE,0.9981,0.0019,0.9981
"Karachi , Sept. 14 -- Ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the Intel Atom processor Z6xx based smartphones .",NEGATIVE,0.7844,0.2156,0.7844
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,NEGATIVE,0.9969,0.0031,0.9969
"Kemira 's R&D organization comprises approximately 750 people , the company said .",POSITIVE,0.9871,0.9871,0.0129
L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .,POSITIVE,0.5831,0.5831,0.4169
"Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years .",POSITIVE,0.9979,0.9979,0.0021
"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .",POSITIVE,0.9659,0.9659,0.0341
"LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support .",POSITIVE,0.9893,0.9893,0.0107
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,NEGATIVE,0.9038,0.0962,0.9038
"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",NEGATIVE,0.9107,0.0893,0.9107
"ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .",POSITIVE,0.6835,0.6835,0.3165
"ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans",NEGATIVE,0.953,0.047,0.953
M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,NEGATIVE,0.9981,0.0019,0.9981
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,NEGATIVE,0.9863,0.0137,0.9863
Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .,NEGATIVE,0.5263,0.4737,0.5263
Marimekko is considering further measures in the matter .,POSITIVE,0.5208,0.5208,0.4792
Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .,POSITIVE,0.8329,0.8329,0.1671
"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",NEGATIVE,0.9907,0.0093,0.9907
"Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",POSITIVE,0.8215,0.8215,0.1785
"Most of the growth in beer consumption took place in the Far East , Latin America and Africa .",POSITIVE,0.9958,0.9958,0.0042
"Most of the new substations support EDGE technology , which enables faster data traffic .",POSITIVE,0.9963,0.9963,0.0037
"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles .",NEGATIVE,0.7511,0.2489,0.7511
"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers .",POSITIVE,0.9971,0.9971,0.0029
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",NEGATIVE,0.8494,0.1506,0.8494
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",POSITIVE,0.9495,0.9495,0.0505
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,POSITIVE,0.9924,0.9924,0.0076
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,POSITIVE,0.9961,0.9961,0.0039
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,POSITIVE,0.9895,0.9895,0.0105
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,POSITIVE,0.878,0.878,0.122
"Mr. McDonald started the evening with his own set , featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results .",NEGATIVE,0.9961,0.0039,0.9961
"M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .",NEGATIVE,0.7409,0.2591,0.7409
M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .,NEGATIVE,0.9987,0.0013,0.9987
Neste Oil will offer outplacement services to the 111 employees to be reduced .,NEGATIVE,0.9927,0.0073,0.9927
News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,POSITIVE,0.6265,0.6265,0.3735
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,POSITIVE,0.9988,0.9988,0.0012
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,NEGATIVE,0.995,0.005,0.995
No financial details of the deployment were disclosed .,NEGATIVE,0.9979,0.0021,0.9979
No financial or pricing details were disclosed .,NEGATIVE,0.9993,0.0007,0.9993
No planned closing date was provided .,NEGATIVE,0.9982,0.0018,0.9982
No service pricing details were disclosed .,NEGATIVE,0.9989,0.0011,0.9989
"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .",NEGATIVE,0.9604,0.0396,0.9604
Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 .,NEGATIVE,0.9992,0.0008,0.9992
Nordea will coordinate the syndicated loan .,NEGATIVE,0.7537,0.2463,0.7537
Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,NEGATIVE,0.9909,0.0091,0.9909
N-Viro operates processing facilities independently as well as in partnership with municipalities .,POSITIVE,0.9867,0.9867,0.0133
"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",NEGATIVE,0.9968,0.0032,0.9968
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",POSITIVE,0.991,0.991,0.009
"On preliminary estimate , the hotel will operate under the brand Novotel .",POSITIVE,0.9052,0.9052,0.0948
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,POSITIVE,0.9921,0.9921,0.0079
"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .",NEGATIVE,0.9523,0.0477,0.9523
OP-Pohjola Group 's capital adequacy ratio under the Act on Credit Institutions stood at 12.1 % and Tier 1 ratio at 12.1 % .,NEGATIVE,0.9882,0.0118,0.9882
"Our customers include companies in the energy and process industry sectors , in particular .",POSITIVE,0.9956,0.9956,0.0044
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",POSITIVE,0.9958,0.9958,0.0042
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,POSITIVE,0.979,0.979,0.021
"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day .",NEGATIVE,0.8953,0.1047,0.8953
"OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake .",POSITIVE,0.5857,0.5857,0.4143
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",NEGATIVE,0.862,0.138,0.862
"Panostaja Plc today acquired the entire share capital of Suomen Graafiset Palvelut Ltd , a provider of printing services .",POSITIVE,0.7171,0.7171,0.2829
"Paper company M-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the CO2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car .",NEGATIVE,0.999,0.001,0.999
Part of the reductions will be made through retirement arrangements .,NEGATIVE,0.9931,0.0069,0.9931
"Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .",NEGATIVE,0.9502,0.0498,0.9502
"pct lower at 4,442.10 .",NEGATIVE,0.997,0.003,0.997
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,POSITIVE,0.9852,0.9852,0.0148
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,POSITIVE,0.9823,0.9823,0.0177
Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands .,POSITIVE,0.9796,0.9796,0.0204
"Previously , it projected the figure to be slightly lower than in 2009 .",NEGATIVE,0.999,0.001,0.999
"Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 .",NEGATIVE,0.9934,0.0066,0.9934
Profit after taxes totaled EUR 12.1 mn .,NEGATIVE,0.9222,0.0778,0.9222
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,NEGATIVE,0.9962,0.0038,0.9962
"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights .",POSITIVE,0.9238,0.9238,0.0762
